Key,English,Filipino
PROPCTRL_TXT_000000,Small Treasure Chest,Maliit na Kaban ng Kayamanan
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),Maliit na Kaban ng Kayamanan (Patayo)
PROPCTRL_TXT_000004,FlDungeon Lever,Lever ng FlDungeon
PROPCTRL_TXT_000006,FlDungeon Gate,Pintuan ng FlDungeon
PROPCTRL_TXT_000008,Keakoon Prison,Bilangguan ng Keakoon
PROPCTRL_TXT_000010,Chimeradon Prison,Bilangguan ng Chimeradon
PROPCTRL_TXT_000012,Meteonyker Prison,Bilangguan ng Meteonyker
PROPCTRL_TXT_000014,Pink Roach Egg,Itlog ng Pink na Ipis
PROPCTRL_TXT_000016,Blue Roach Egg,Itlog ng Asul na Ipis
PROPCTRL_TXT_000028,Warp Machine,Warp Machine
PROPCTRL_TXT_000030,Warp Board1,Warp Board1
PROPCTRL_TXT_000032,Warp Board2,Warp Board2
PROPCTRL_TXT_000034,Warp Board3,Warp Board3
PROPCTRL_TXT_000036,Exp Box,Kahon ng Exp
PROPCTRL_TXT_000037,Harvest Plant 01,Anihin ang Halaman 01
PROPCTRL_TXT_000038,Harvest Plant 02,Anihin ang Halaman 02
PROPCTRL_TXT_000039,Harvest Plant 03,Anihin ang Halaman 03
PROPCTRL_TXT_000040,Harvest Plant 04,Anihin ang Halaman 04
PROPCTRL_TXT_000041,Children in cage,Mga Bata sa Kulungan
PROPCTRL_TXT_000042,Pet Cage 01,Kulungan ng Alagang Hayop 01
PROPCTRL_TXT_000043,Pet Cage 02,Kulungan ng Alagang Hayop 02
PROPCTRL_TXT_000044,Pet Cage 03,Kulungan ng Alagang Hayop 03
PROPCTRL_TXT_000045,Pet Cage 04,Kulungan ng Alagang Hayop 04
PROPCTRL_TXT_000046,Pet Cage 05,Kulungan ng Alagang Hayop 05
PROPCTRL_TXT_000047,Pet Cage 06,Kulungan ng Alagang Hayop 06
PROPCTRL_TXT_000048,Pet Cage 07,Kulungan ng Alagang Hayop 07
PROPCTRL_TXT_000049,Dungeon Warp 01,Dungeon Warp 01
PROPCTRL_TXT_000050,Dungeon Warp 02,Dungeon Warp 02
PROPCTRL_TXT_000051,Dungeon Warp 03,Dungeon Warp 03
PROPCTRL_TXT_000052,Dungeon Warp 04,Dungeon Warp 04
PROPCTRL_TXT_000053,Straight Palm Tree,Tuwid na Puno ng Palmera
PROPCTRL_TXT_000054,Leaning Palm Tree,Nakayukong Puno ng Palmera
PROPCTRL_TXT_000055,Branch Coral,Sanga ng Coral
PROPCTRL_TXT_000056,Round Red Coral,Bilog na Pulang Coral
PROPCTRL_TXT_000057,Leren Chasm Chest,Kahon ng Leren Chasm
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,Kahon ng Rhisis Catacombs
PROPCTRL_TXT_000059,Envy Depths Chest,Kahon ng Envy Depths
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,Kahon ng Guardiane Sanctuary
PROPCTRL_TXT_000061,Storm Peak Chest,Kahon ng Storm Peak
PROPCTRL_TXT_000062,The Wilds Chest,Kahon ng The Wilds
PROPCTRL_TXT_000063,Dungeon Warp 05,Dungeon Warp 05
PROPCTRL_TXT_000064,Dungeon Warp 06,Dungeon Warp 06
PROPCTRL_TXT_000065,Ship Wheel,Gulong ng Barko
PROPCTRL_TXT_000066,Cushion Chair,Kuwatro na Upuan
PROPCTRL_TXT_000067,Spinning Globe,Paikot-ikot na Globo
PROPCTRL_TXT_000068,Compass,Kompas
PROPCTRL_TXT_000069,Chandelier,Kandil
PROPCTRL_TXT_000070,Command Desk,Mesa ng Komando
PROPCTRL_TXT_000071,Command Platform,Plataporma ng Komando
PROPCTRL_TXT_000072,Small Table,Maliit na Mesa
PROPCTRL_TXT_000073,Drawer,Drawer / Lihim na Lagayan
PROPCTRL_TXT_000074,Twin Bed,Doblang Kama
PROPCTRL_TXT_000075,Incident Painting,Painting ng Insidente
PROPCTRL_TXT_000076,Home Painting,Painting sa Bahay
PROPCTRL_TXT_000077,Metaverse Ball,Metaverse Bola
PROPCTRL_TXT_000078,Metaverse Bath Rug,Metaverse Banig sa Banyo
PROPCTRL_TXT_000079,Metaverse Twin Bed,Metaverse Doblang Kama
PROPCTRL_TXT_000080,Metaverse King Bed,Metaverse King Bed
PROPCTRL_TXT_000081,Metaverse Single Bed,Metaverse Single Bed
PROPCTRL_TXT_000082,Metaverse Beer Cup,Metaverse Beer Cup
PROPCTRL_TXT_000083,Metaverse Bench,Metaverse Bangko
PROPCTRL_TXT_000084,Metaverse Candle,Metaverse Kandila
PROPCTRL_TXT_000085,Metaverse Cat Supplies,Metaverse Kagamitang Pusa
PROPCTRL_TXT_000086,Metaverse Chair,Metaverse Upuan
PROPCTRL_TXT_000087,Metaverse Basic Desk,Metaverse Pangkaraniwang Mesa
PROPCTRL_TXT_000088,Metaverse Wooden Desk,Metaverse Kahoy na Mesa
PROPCTRL_TXT_000089,Metaverse Boss Desk,Metaverse Mesa ng Boss
PROPCTRL_TXT_000090,Metaverse Student Desk,Metaverse Mesa ng Estudyante
PROPCTRL_TXT_000091,Metaverse Pencil Case,Metaverse Pencil Case
PROPCTRL_TXT_000092,Metaverse Plant,Metaverse Halaman
PROPCTRL_TXT_000093,Metaverse Tree Pot,Metaverse Paso ng Puno
PROPCTRL_TXT_000094,Metaverse Slippers,Metaverse Tsinelas
PROPCTRL_TXT_000095,Metaverse Single Sofa,Metaverse Single Sofa
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,Metaverse Pouffe Seat
PROPCTRL_TXT_000097,Metaverse Sofa,Metaverse Sofa
PROPCTRL_TXT_000098,Metaverse Round Table,Metaverse Bilog na Mesa
PROPCTRL_TXT_000099,Metaverse Storage Table,Metaverse Storage Table
PROPCTRL_TXT_000100,Metaverse Decorative Table,Metaverse Palamuti na Mesa
PROPCTRL_TXT_000101,Metaverse Violon,Metaverse Violon
PROPCTRL_TXT_000102,Wooden Yellow Chair,Kahoy na Dilaw na Upuan
