Key,English,Filipino
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Para mabago ang view ng camera, igalaw ang mouse o gamitin ang arrow keys habang hinahawakan ang right mouse button (sa bagong bersyon) o pinipindot ang mouse wheel (sa lumang bersyon)"
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","Sa pagpindot ng Spacebar, makakalundag ang player sa lupa; kapag nasa flying mode, ginagamit din ito para gumalaw habang lumilipad"
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,Puwedeng lumipad kapag level 20 na kahit anong job class; mabibili ang flying items sa [Station] NPC sa bawat bayan
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","Kung kailangan mo ng HP, magpahinga gamit ang sit order mula sa Motion interface menu; aabutin ng oras pero makakatipid ka kumpara sa pagbili"
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Kapag namatay ka, piliin ang 'Lodestar' sa revive window kung gusto mong pumunta sa bayan; para mag-revive sa mismong lugar ng pagkamatay gamitin ang 'Scroll of Resurrection' o hayaang mag-cast sa'yo ng Resurrection skill"
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Ang mga items na nagre-restore ng HP, MP, at FP tulad ng Food, Refresher, at Vita drink ay nagbabalik ng takdang halaga; tingnan ang amount na nire-restore para sa pinakamabisang paggamit"
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Kapag umabot ka ng level 15, tapusin agad ang Job transfer quest; kung hindi, hindi ka na makakakuha ng EXP"
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Pindutin ang ESC para alisin ang target
CLIENT_TIP_INC_000008,Troupe means Party.,Ang 'Troupe' ay nangangahulugang 'Party'
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","Para gumamit ng skill, buksan ang skill window (Hot Key 'K') at i-drag ang skill icon papunta sa ibaba ng screen (F1~F10); para gumamit ng combined skill, i-drag ang skill icon sa action slot (kanan ibaba ng screen), i-target ang kalaban, at pindutin ang 'C'"
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,Kailangang ilagay ang Clean Hit muna bago magamit ang Flurry sa ACTION SLOT
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Pagkatapos piliin ang karakter, i-left click habang hinahawakan ang ALT at piliin ang 'Follow' sa menu para sundan ang karakter; pindutin ang Space Bar habang hawak ang 'Z' kapag lumilipad ka"
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Ang pag-click sa target habang hinahawakan ang 'ALT' ay magbubukas ng menu para sa Guild, Messenger, Follow, at iba pa"
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,Pindutin ang 'X' para i-toggle ang paglalakad at pagtakbo
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.",I-double click ang monster o i-set ang Auto Attack sa game options para awtomatikong umatake
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,Ipinagbabawal ang pagbebenta o pagbili ng Penya online ayon sa aming patakaran; nanganganib ang account mo at maaari kang maparusahan
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Ang pagbabahagi, pagbibigay, o pagbebenta ng account ay labag sa aming patakaran; ang paglabag ay maaaring magresulta sa permanenteng termination ng mga kaugnay na account"
