Key,English,Filipino
ITEMTYPE_1H_SWORD,1H Sword,Espada (Isang-kamay)
ITEMTYPE_2H_SWORD,2H Sword,Espada (Dalawang kamay)
ITEMTYPE_1H_AXE,1H Axe,Palakol (Isang-kamay)
ITEMTYPE_2H_AXE,2H Axe,Palakol (Dalawang kamay)
ITEMTYPE_KNUCKLE,Knuckle,Knuckle
ITEMTYPE_STICK,Stick,Baston
ITEMTYPE_BOW,Bow,Pana
ITEMTYPE_YOYO,Yo-Yo,Yo-yo
ITEMTYPE_WAND,Wand,Wand
ITEMTYPE_STAFF,Staff,Staff
ITEMTYPE_COSTUME,Costume,Kostyum
ITEMTYPE_SHOES,Shoes,Sapatos
ITEMTYPE_PICKUP,Pick-Up Pet,Alagang Nangongolekta
ITEMTYPE_REAR_PET,Raised Pet,Alagang Pinalaki
ITEMTYPE_CONSUMABLE,Consumable,Ginagamit
ITEMTYPE_BOARD,Board,Tabla
ITEMTYPE_CAR,Car,Kotse
ITEMTYPE_WINGS,Wings,Pakpak
ITEMTYPE_BIKE,Bike,Bisikleta
ITEMTYPE_BERRY,Berry,Beri
ITEMTYPE_DICE,Dice,Dado
ITEMTYPE_BOX,Box,Kahon
ITEMTYPE_VANITY,Vanity,Pamporma
ITEMTYPE_CHIP,Chip,Chip
