Key,English,Filipino
ETC_INC_000000,Vagrant,Vagrant
ETC_INC_000001,Mercenary,Mersenaryo
ETC_INC_000002,Acrobat,Akrobat
ETC_INC_000003,Assist,Assist
ETC_INC_000004,Magician,Mago
ETC_INC_000005,Puppeteer,Puppeteer
ETC_INC_000006,Knight,Knight
ETC_INC_000007,Blade,Blade
ETC_INC_000008,Jester,Jester
ETC_INC_000009,Ranger,Ranger
ETC_INC_000010,Ringmaster,Ringmaster
ETC_INC_000011,Billposter,Billposter
ETC_INC_000012,Psykeeper,Psykeeper
ETC_INC_000013,Elementor,Elementalista
ETC_INC_000014,Gatekeeper,Gatekeeper
ETC_INC_000015,Doppler,Doppler
ETC_INC_SPECIALIST_000016,Templar,Templaryo
ETC_INC_SPECIALIST_000017,Slayer,Slayer
ETC_INC_SPECIALIST_000018,Harlequin,Harlequin
ETC_INC_SPECIALIST_000019,Crackshooter,Crackshooter
ETC_INC_SPECIALIST_000020,Seraph,Seraph
ETC_INC_SPECIALIST_000021,Forcemaster,Forcemaster
ETC_INC_SPECIALIST_000022,Mentalist,Mentalista
ETC_INC_SPECIALIST_000023,Arcanist,Arkanista
ETC_INC_SPECIALIST_000024,Summoner,Summoner
ETC_INC_SPECIALIST_000025,Trapmaster,Trapmaster
