Key,English,Filipino
PROPTROUPESKILL_TXT_000000,Call,Tawag
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,Ipinapaalam sa lahat ng miyembro ng party kung nasaan ang lider ng party.
PROPTROUPESKILL_TXT_000002,Blitz,Lusob
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,Iniutos ng lider ng party sa mga miyembro na atakihin ang isang target.
PROPTROUPESKILL_TXT_000004,Retreat,Umatras
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,Iniutos ng lider ng party sa lahat ng miyembro na umatras.
PROPTROUPESKILL_TXT_000008,Precision,Katumpakan
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,Pinapataas ang tsansa ng kritikal sa susunod na atake ng lahat ng miyembro ng party na nasa paligid ng lider ng 0.5% x bilang ng mga miyembro.
PROPTROUPESKILL_TXT_000010,Linked Attack,Pinag-ugnay na Atake
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,Bawat miyembro ng party na nasa paligid ng lider ay nagdadagdag ng 5% bonus sa pinsala ng lider ng party.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Maswerteng Drop
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,Pinapataas ang tsansa na ang Masquerpets ay magdadrop ng mga natatanging item.
PROPTROUPESKILL_TXT_000014,Resting,Pahinga
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.","Ang mga miyembro ng party ay nagre-recover nang 1.5 beses na mas mabilis. Kung ang lider ng party ay isang Assist, nagre-recover ang mga miyembro nang 1.8 beses na mas mabilis."
PROPTROUPESKILL_TXT_000016,Gift Box,Kahon ng Regalo
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,Pinapataas ang dami ng mga item na dina-drop ng Masquerpets.
PROPTROUPESKILL_TXT_000018,Global Attack,Pangkalahatang Atake
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,Bawat miyembro ng party ay nakakakuha ng 2.5% bonus sa pinsala para sa bawat miyembrong nasa paligid nila. Hindi ito naaaplay sa lider kapag aktibo ang Pinag-ugnay na Atake.
