Key,English,French
TEXTEMOTION_TXT_000000,Laugh,Rire
TEXTEMOTION_TXT_000001,Sad,Pleurer
TEXTEMOTION_TXT_000002,Kiss,Bisous
TEXTEMOTION_TXT_000003,Surprise,Surprise
TEXTEMOTION_TXT_000004,Blush,Rougir
TEXTEMOTION_TXT_000005,Anger,Colère
TEXTEMOTION_TXT_000006,Sigh,Soupir
TEXTEMOTION_TXT_000007,Wink,Cligner
TEXTEMOTION_TXT_000008,Ache,Malade
TEXTEMOTION_TXT_000009,Hunger,Faim
TEXTEMOTION_TXT_000010,Yummy,Miam
TEXTEMOTION_TXT_000011,Sneer,Frimer
TEXTEMOTION_TXT_000012,Sparkle,Wow
TEXTEMOTION_TXT_000013,Ridicule,Ridicule
TEXTEMOTION_TXT_000014,Sleepy,Dormir
TEXTEMOTION_TXT_000015,Rich,Riche
TEXTEMOTION_TXT_000016,Glare,Énervé
TEXTEMOTION_TXT_000017,Sweat,Sueur
TEXTEMOTION_TXT_000018,Cat face,Chat
TEXTEMOTION_TXT_000019,Tongue,Langue
TEXTEMOTION_TXT_000020,Mad,Grrr
TEXTEMOTION_TXT_000021,Aha,Idée
TEXTEMOTION_TXT_000022,Embarrassed,Hmmm
TEXTEMOTION_TXT_000023,Help,Aide
TEXTEMOTION_TXT_000024,Crazy,Cinglé
TEXTEMOTION_TXT_000025,Oh!,Oh
TEXTEMOTION_TXT_000026,Confused,Erf
TEXTEMOTION_TXT_000027,Ouch,Ouch
TEXTEMOTION_TXT_000028,Love,Amour
TEXTEMOTION_TXT_100000,Risitas,Haha
TEXTEMOTION_TXT_100001,Broken Heart,Cœur Brisé
TEXTEMOTION_TXT_100002,Sadge,triste
TEXTEMOTION_TXT_100003,Copium,déni
TEXTEMOTION_TXT_100004,Susge,suspect
TEXTEMOTION_TXT_100005,Sheesh,Incroyable
TEXTEMOTION_TXT_100006,Acktually,En fait
