Key,English,French
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Pour positionner la caméra à votre guise, déplacez la souris tout en maintenant le clic droit enfoncé, ou utilisez les flèches directionnelles."
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","La barre d'Espace vous permet de sauter, mais également de contrôler votre personnage en vol."
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,"Il est possible de voler à partir du niveau 20, quelque soit votre classe. Vous pouvez acheter des objets volants à la [Station] de chaque ville."
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","Lorsque vous êtes hors combat, votre personnage peux s'asseoir pour se refaire une santé. Bien sûr vous pouvez également utiliser l'un des nombreux objets, mais attention à votre porte-monnaie!"
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Vous pouvez ressusciter dans la ville la plus proche en sélectionnant ""Puits de vie"" dans la fenêtre de renaissance. Si vous avez un ""Parchemin de résurrection"" ou une compétence de résurrection, l'option ""sur place"" s'activera, vous permettant de revenir à la vie à l'endroit où vous êtes mort."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Des objets redonnent PV, PM, PF comme la nourriture, les boissons vitaminées. Consulter leur capacités pour être efficace."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Des que vous aurez atteint le niveau 15, faîtes votre quête de classe le plus vite possible. Vous ne gagnerez pas d'expérience sinon."
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Appuyez sur ESC pour décibler
CLIENT_TIP_INC_000008,Troupe means Party.,Jouer en groupe est la clé du succès.
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","Pour utiliser une compétence, appuyez sur K et faites glisser un icône de compétence en bas de votre écran (emplacement F1 à F10). Pour utiliser des enchainements de compétences, placez les compétences dans l'action slot et appuyez sur la touche C."
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,"Vous devez utiliser ""Frappe Pure"" pour commencer un enchainement de coup dans votre barre d'action."
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Ciblez un personnage, faites un clic gauche en maintenant la touche Alt appuyée et choisissez ""suivre"" pour suivre ce personnage Appuyez sur la touche Espace en maintenant W enfoncé si vous volez."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Un clic gauche sur un personnage en maintenant la touche Alt enfoncée active des options comme le menu de guilde, de messagerie, d'échange..."
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,Appuyer sur W pour marcher et une deuxième fois pour courir à nouveau.
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.",Ne donnez jamais votre mot de passe à qui que ce soit. Un employé de gPotato ne vous demandera jamais cette information.
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,La vente et l'achat de penya sur internet est interdite. Acheter des penyas expose votre compte à des sanctions.
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Il est interdit de partager, donner ou vendre un compte gPotato. Tout manquement à cette règle pourra être sanctionné."
