Key,English,French
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,Eau purifiée
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White reagent,Réactif blanc
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue reagent,Réactif bleu
PRODUCTION_RECIPE_NAME_REDREAGENT,Red reagent,Réactif rouge
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green reagent,Réactif vert
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow reagent,Réactif jaune
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold reagent,Réactif doré
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,Boisson énergétique 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,Boisson énergétique 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,Fiole de mana 1
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,Pilule grise
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,Fiole de mana 2
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Huile de pin
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,Boisson énergétique 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,Boisson énergétique 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,Boisson énergétique 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,Boisson énergétique 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,Boisson énergétique 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,Boisson énergétique 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,Pilule jaune
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,Pilule bleue
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,Pilule rouge
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,Fiole de mana 3
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,Fiole de mana 4
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,Fiole de mana 5
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,Fiole de mana 6
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,Fiole de mana 7
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,Fiole de mana 8
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,Boisson énergétique 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,Fiole de mana 9
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,Fiole de mana 10
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,Pilule magique
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,Pilule d'Or Brillante
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,Concoction de Peau Dure
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,Concoction de Puissance Croissante
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,Potion du Tigre
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,Potion du Lapin
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,Potion du Renard
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,Potion du Lion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,Concoction de Précision
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,Concoction d'Évasion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,Concoction de Rapidité
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,Concoction de Clarté
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,Concoction d'Imprudence
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,Concoction de Saignement
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Concoction de Pas Rapides
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Concoction de Récupération Rapide de PV
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Concoction de Récupération Rapide de PM
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Concoction de Récupération Rapide de PF
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Revitalisant de Puissance
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Boisson Vitalité Puissance
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Poisson Sans Nom Découpé
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Poisson Sans Nom Découpé 2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Crevette Découpée
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Crevette Découpée 2
