Key,English,German
PROPCTRL_TXT_000000,Small Treasure Chest,Kleine Schatztruhe
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),Kleine Schatztruhe (Vertikal)
PROPCTRL_TXT_000004,FlDungeon Lever,Dungeon Hebel
PROPCTRL_TXT_000006,FlDungeon Gate,Dungeon Tor
PROPCTRL_TXT_000008,Keakoon Prison,Keakoon Gefängnis
PROPCTRL_TXT_000010,Chimeradon Prison,Chimeradon Gefängnis
PROPCTRL_TXT_000012,Meteonyker Prison,Meteonyker Gefängnis
PROPCTRL_TXT_000014,Pink Roach Egg,Pink Roach Egg
PROPCTRL_TXT_000016,Blue Roach Egg,Blue Roach Egg
PROPCTRL_TXT_000028,Warp Machine,Warp Maschine
PROPCTRL_TXT_000030,Warp Board 1,Warp Planke 1
PROPCTRL_TXT_000032,Warp Board 2,Warp Planke 2
PROPCTRL_TXT_000034,Warp Board 3,Warp Planke 3
PROPCTRL_TXT_000036,Exp Box,Exp Box
PROPCTRL_TXT_000037,Harvest Plant 01,Pflanzen ernten 01
PROPCTRL_TXT_000038,Harvest Plant 02,Pflanzen ernten 02
PROPCTRL_TXT_000039,Harvest Plant 03,Pflanzen ernten 03
PROPCTRL_TXT_000040,Harvest Plant 04,Pflanzen ernten 04
PROPCTRL_TXT_000041,Children in cage,Kinder im Käfig
PROPCTRL_TXT_000042,Pet Cage 01,Pet Cage 01
PROPCTRL_TXT_000043,Pet Cage 02,Pet Cage 02
PROPCTRL_TXT_000044,Pet Cage 03,Pet Cage 03
PROPCTRL_TXT_000045,Pet Cage 04,Pet Cage 04
PROPCTRL_TXT_000046,Pet Cage 05,Pet Cage 05
PROPCTRL_TXT_000047,Pet Cage 06,Pet Cage 06
PROPCTRL_TXT_000048,Pet Cage 07,Pet Cage 07
PROPCTRL_TXT_000049,Dungeon Warp 01,Dungeon Warp 01
PROPCTRL_TXT_000050,Dungeon Warp 02,Dungeon Warp 02
PROPCTRL_TXT_000051,Dungeon Warp 03,Dungeon Warp 03
PROPCTRL_TXT_000052,Dungeon Warp 04,Dungeon Warp 04
PROPCTRL_TXT_000053,Straight Palm Tree,Gerader Palmenbaum
PROPCTRL_TXT_000054,Leaning Palm Tree,Schiefer Palmenbaum
PROPCTRL_TXT_000055,Branch Coral,Zweig-Koralle
PROPCTRL_TXT_000056,Round Red Coral,Runde rote Koralle
PROPCTRL_TXT_000057,Leren Chasm Chest,Lerenkluft Kiste 
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,Katakomben von Rhisis Kiste
PROPCTRL_TXT_000059,Envy Depths Chest,Neidische Tiefen Kiste
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,Guardiane Heiligtum Kiste
PROPCTRL_TXT_000061,Storm Peak Chest,Sturmgipfel Kiste
PROPCTRL_TXT_000062,The Wilds Chest,Die Wildernis Kiste
PROPCTRL_TXT_000063,Dungeon Warp 05,Dungeon Warp 05
PROPCTRL_TXT_000064,Dungeon Warp 06,Dungeon Warp 06
PROPCTRL_TXT_000065,Ship Wheel,Schiffsrad
PROPCTRL_TXT_000066,Cushion Chair,Polsterstuhl
PROPCTRL_TXT_000067,Spinning Globe,Rotierender Globus
PROPCTRL_TXT_000068,Compass,Kompass
PROPCTRL_TXT_000069,Chandelier,Kronleuchter
PROPCTRL_TXT_000070,Command Desk,Kommandopult
PROPCTRL_TXT_000071,Command Platform,Kommandoplattform
PROPCTRL_TXT_000072,Small Table,Kleiner Tisch
PROPCTRL_TXT_000073,Drawer,Kommode
PROPCTRL_TXT_000074,Twin Bed,Einzelbett
PROPCTRL_TXT_000075,Incident Painting,Gemälde eines Zwischenfalls
PROPCTRL_TXT_000076,Home Painting,Gemälde für Zuhause
PROPCTRL_TXT_000077,Metaverse Ball,Metaverse-Ball
PROPCTRL_TXT_000078,Metaverse Bath Rug,Metaverse Badeteppich
PROPCTRL_TXT_000079,Metaverse Twin Bed,Metaverse Doppelbett
PROPCTRL_TXT_000080,Metaverse King Bed,Metaverse Doppelbett
PROPCTRL_TXT_000081,Metaverse Single Bed,Metaverse Einzelbett
PROPCTRL_TXT_000082,Metaverse Beer Cup,Metaverse Bierglas
PROPCTRL_TXT_000083,Metaverse Bench,Metaverse Bank
PROPCTRL_TXT_000084,Metaverse Candle,Metaverse Kerze
PROPCTRL_TXT_000085,Metaverse Cat Supplies,Metaverse Katzenbedarf
PROPCTRL_TXT_000086,Metaverse Chair,Metaverse Stuhl
PROPCTRL_TXT_000087,Metaverse Basic Desk,Metaverse Schreibtisch
PROPCTRL_TXT_000088,Metaverse Wooden Desk,Metaverse Holzschreibtisch
PROPCTRL_TXT_000089,Metaverse Boss Desk,Metaverse Boss Schreibtisch
PROPCTRL_TXT_000090,Metaverse Student Desk,Metaverse Schülerschreibtisch
PROPCTRL_TXT_000091,Metaverse Pencil Case,Metaverse Federmäppchen
PROPCTRL_TXT_000092,Metaverse Plant,Metaverse Pflanze
PROPCTRL_TXT_000093,Metaverse Tree Pot,Metaverse Baumkübel
PROPCTRL_TXT_000094,Metaverse Slippers,Metaverse Hausschuhe
PROPCTRL_TXT_000095,Metaverse Single Sofa,Metaverse Einzelsofa
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,Metaverse Sitzsack
PROPCTRL_TXT_000097,Metaverse Sofa,Metaverse Sofa
PROPCTRL_TXT_000098,Metaverse Round Table,Metaverse Runder Tisch
PROPCTRL_TXT_000099,Metaverse Storage Table,Metaverse Lagertisch
PROPCTRL_TXT_000100,Metaverse Decorative Table,Metaverse Deko-Tisch
PROPCTRL_TXT_000101,Metaverse Violin,Metaverse Violin
PROPCTRL_TXT_000102,Wooden Yellow Chair,Gelber Holzstuhl
PROPCTRL_TXT_000103,Wooden Yellow Table,Gelber Holztisch
PROPCTRL_TXT_000104,Wooden Yellow Dressing Table,Gelber Frisiertisch aus Holz
PROPCTRL_TXT_000105,Wooden Yellow Closet,Gelber Holzschrank
PROPCTRL_TXT_000106,Wooden Yellow Bench,Gelbe Holzbank
PROPCTRL_TXT_000107,Wooden Yellow Cabinet,Gelbes Holz-Kabinett
PROPCTRL_TXT_000108,Wooden Yellow Bed,Gelbes Holzbett
PROPCTRL_TXT_000109,Wooden Blue Chair,Blauer Holzstuhl
PROPCTRL_TXT_000110,Wooden Blue Table,Blauer Holztisch
PROPCTRL_TXT_000111,Wooden Blue Dressing Table,Blauer Frisiertisch aus Holz
PROPCTRL_TXT_000112,Wooden Blue Closet,Blauer Holzschrank
PROPCTRL_TXT_000113,Wooden Blue Bench,Blaue Holzbank
PROPCTRL_TXT_000114,Wooden Blue Cabinet,Blaues Holz-Kabinett
PROPCTRL_TXT_000115,Wooden Blue Bed,Blaues Holzbett
PROPCTRL_TXT_000116,Wooden Red Chair,Roter Holzstuhl
PROPCTRL_TXT_000117,Wooden Red Table,Roter Holztisch
PROPCTRL_TXT_000118,Wooden Red Dressing Table,Roter Frisiertisch aus Holz
PROPCTRL_TXT_000119,Wooden Red Closet,Roter Holzschrank
PROPCTRL_TXT_000120,Wooden Red Bench,Rote Holzbank
PROPCTRL_TXT_000121,Wooden Red Cabinet,Rotes Holz-Kabinett
PROPCTRL_TXT_000122,Wooden Red Bed,Rotes Holzbett
PROPCTRL_TXT_000123,Music Chair,Musik-Stuhl
PROPCTRL_TXT_000124,Music Table,Musik-Tisch
PROPCTRL_TXT_000125,Music Dressing Table,Musik-Frisiertisch
PROPCTRL_TXT_000126,Music Wardrobe,Musik-Garderobe
PROPCTRL_TXT_000127,Music Sofa,Musik-Sofa
PROPCTRL_TXT_000128,Music Cabinet,Musik-Kabinett
PROPCTRL_TXT_000129,Music Bed,Musik-Bett
PROPCTRL_TXT_000130,Heart Chair,Herz-Stuhl
PROPCTRL_TXT_000131,Heart Table,Herz-Tisch
PROPCTRL_TXT_000132,Heart Dressing Table,Herz-Frisiertisch
PROPCTRL_TXT_000133,Heart Wardrobe,Herz-Garderobe
PROPCTRL_TXT_000134,Heart Sofa,Herz-Sofa
PROPCTRL_TXT_000135,Heart Cabinet,Herz-Kabinett
PROPCTRL_TXT_000136,Heart Bed,Herz-Bett
PROPCTRL_TXT_000137,Modern Chair,Moderner Stuhl
PROPCTRL_TXT_000138,Modern Table,Moderner Tisch
PROPCTRL_TXT_000139,Modern Dressing Table,Moderner Frisiertisch
PROPCTRL_TXT_000140,Modern Wardrobe,Moderne Garderobe
PROPCTRL_TXT_000141,Modern Sofa,Modernes Sofa
PROPCTRL_TXT_000142,Modern Cabinet,Modernes Kabinett
PROPCTRL_TXT_000143,Modern Bed,Modernes Bett
PROPCTRL_TXT_000144,Royal Chair,Königlicher Stuhl
PROPCTRL_TXT_000145,Royal Table,Königlicher Tisch
PROPCTRL_TXT_000146,Royal Dressing Table,Königlicher Frisiertisch
PROPCTRL_TXT_000147,Royal Wardrobe,Königliche Garderobe
PROPCTRL_TXT_000148,Royal Sofa,Königliches Sofa
PROPCTRL_TXT_000149,Royal Bed,Königliches Bett
PROPCTRL_TXT_000150,Royal Drawer,Königliche Kommode
PROPCTRL_TXT_000151,Royal Bookcase,Königlicher Bücherschrank
PROPCTRL_TXT_000152,Royal Desk,Königlicher Schreibtisch
PROPCTRL_TXT_000153,Royal Bath,Königliches Bad
PROPCTRL_TXT_000154,Golden Royal Chair,Königlicher Goldstuhl
PROPCTRL_TXT_000155,Golden Royal Table,Königlicher Goldtisch
PROPCTRL_TXT_000156,Golden Royal Dressing Table,Königlicher Frisiertisch aus Gold
PROPCTRL_TXT_000157,Golden Royal Wardrobe,Königliche Goldgarderobe
PROPCTRL_TXT_000158,Golden Royal Sofa,Königliches Goldsofa
PROPCTRL_TXT_000159,Golden Royal Bed,Königliches Goldbett
PROPCTRL_TXT_000160,Golden Royal Drawer,Königliche Goldkommode
PROPCTRL_TXT_000161,Golden Royal Bookcase,Königlicher Goldbücherschrank
PROPCTRL_TXT_000162,Golden Royal Desk,Königlicher Goldschreibtisch
PROPCTRL_TXT_000163,Golden Royal Bath,Königliches Goldbad
PROPCTRL_TXT_000164,Design Black Chair,Schwarzer Design-Stuhl
PROPCTRL_TXT_000165,Design White Chair,Weißer Design-Stuhl
PROPCTRL_TXT_000166,Design Table,Design-Tisch
PROPCTRL_TXT_000167,Design Drawer,Design Kommode
PROPCTRL_TXT_000168,Design Bookcase,Design-Bücherschrank
PROPCTRL_TXT_000169,Design Sofa,Design-Sofa
PROPCTRL_TXT_000170,Wooden Chair,Holzstuhl
PROPCTRL_TXT_000171,Wooden Table,Holztisch
PROPCTRL_TXT_000172,Wooden Drawer,Holzkommode
PROPCTRL_TXT_000173,Wooden Bookcase,Holzbücherschrank
PROPCTRL_TXT_000174,Wooden Sofa,Holzsofa
PROPCTRL_TXT_000175,Flaris Ground Field,Flaris Boden
PROPCTRL_TXT_000176,Flaris Anvil,Flaris Amboss
PROPCTRL_TXT_000177,Flaris Bench,Flaris Bank
PROPCTRL_TXT_000178,Flaris Chariot,Flaris Wagen
PROPCTRL_TXT_000179,Flaris Fence 1,Flaris Zaun
PROPCTRL_TXT_000180,Flaris Floor Lamp,Flaris Stehlampe
PROPCTRL_TXT_000181,Flaris Wall Lamp,Flaris Wandlampe
PROPCTRL_TXT_000182,Flaris Pot 1,Flaris Topf 1
PROPCTRL_TXT_000183,Flaris Small Sign,Flaris Minischild
PROPCTRL_TXT_000184,Flaris Medium Sign,Flaris Mediumschild
PROPCTRL_TXT_000185,Flaris Large Sign,Flaris Großschild
PROPCTRL_TXT_000186,Flaris Boat Sign,Flaris Bootschild
PROPCTRL_TXT_000187,Flaris Rotating Sign,Flaris Drehschild
PROPCTRL_TXT_000188,Common Green Tree 1,Gewöhnlicher grüner Baum 1
PROPCTRL_TXT_000189,Common Wooden Box 1,Gewöhnliche Holzkiste 1
PROPCTRL_TXT_000190,Common Wooden Box Pile 1,Gewöhnlicher Holzkistenstapel 1
PROPCTRL_TXT_000191,Common Wooden Barrel 1,Gewöhnliches Holzfass 1
PROPCTRL_TXT_000192,Common Wooden Barrel Pile 1,Gewöhnlicher Holzfassstapel 1
PROPCTRL_TXT_000193,Common Flowers 1,Gewöhnliche Blumen 1
PROPCTRL_TXT_000194,Common Grass 1,Gewöhnliches Gras 1
PROPCTRL_TXT_000195,Common Mushroom 1,Gewöhnlicher Pilz 1
