Key,English,German
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,Pflanzenkenner
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,Belohnung für eine Ranglistenplatzierung in der Kräutersammel-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,Baumkuschler
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,Belohnung für eine Ranglistenplatzierung in der Holzernte-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,Buddler
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,Belohnung für eine Ranglistenplatzierung in der Bergbau-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,Kiemenkönig
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,Belohnung für eine Ranglistenplatzierung in der Fischerei-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,Titan der Küche
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,Belohnung für eine Ranglistenplatzierung in der Kochkunst-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,Braumeister
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,Belohnung für eine Ranglistenplatzierung in der Alchemie-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,Bretter-Boss
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,Belohnung für eine Ranglistenplatzierung in der Tischlerei-Meisterschaft.
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,Flammenformer
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,Belohnung für eine Ranglistenplatzierung in der Schmiedekunst-Meisterschaft.
