Key,English,German
ITEMTYPE_1H_SWORD,1H Sword,1H Schwert
ITEMTYPE_2H_SWORD,2H Sword,2H Schwert
ITEMTYPE_1H_AXE,1H Axe,1H Axt
ITEMTYPE_2H_AXE,2H Axe,2H Axt
ITEMTYPE_KNUCKLE,Knuckle,Knuckle
ITEMTYPE_STICK,Stick,Stick
ITEMTYPE_BOW,Bow,Bogen
ITEMTYPE_YOYO,Yo-Yo,Yo-Yo
ITEMTYPE_WAND,Wand,Wand
ITEMTYPE_STAFF,Staff,Staff
ITEMTYPE_COSTUME,Costume,Kostüm
ITEMTYPE_SHOES,Shoes,Schuhe
ITEMTYPE_PICKUP,Pick-Up Pet,Sammelpet
ITEMTYPE_REAR_PET,Raised Pet,Status Pet
ITEMTYPE_CONSUMABLE,Consumable,Verbrauchsgegenstand
ITEMTYPE_BOARD,Board,Flugboard
ITEMTYPE_CAR,Car,Auto
ITEMTYPE_WINGS,Wings,Flügel
ITEMTYPE_BIKE,Bike,Bike
ITEMTYPE_BERRY,Berry,Beeren
ITEMTYPE_DICE,Dice,Würfel
ITEMTYPE_BOX,Box,Box
ITEMTYPE_VANITY,Vanity,Kosmetik
ITEMTYPE_CHIP,Chip,Chip
