Key,English,Indonesian
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Untuk mengubah tampilan kamera, gerakkan mouse atau gunakan tombol panah dengan mengklik tombol kanan mouse (dalam versi baru) atau mengklik wheel button (dalam versi lama)"
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","Dengan menekan space bar, pemain dapat melompat ke tanah, dan juga akan memindahkan flight dalam mode terbang"
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,Terbang dapat dilakukan pada level 20 terlepas dari apapun kelas job kamu. Item terbang dapat dibeli dari [Station] NPC di setiap kota.
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","Jika Kamu membutuhkan HP, Kamu dapat beristirahat melalui perintah duduk yang dapat Kamu pilih dalam motion interface menu. Ini akan memakan waktu tetapi menghemat uang."
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Ketika kamu mati, hidupkan kembali melalui 'Lodestar' jika kamu ingin pergi ke kota. Jika kamu ingin revive dari tempat posisi kamu mati, gunakan 'Scroll of Resurrection' atau gunakan skill Resurrection ke karaktermu."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Item yang memulihkan HP, MP, dan FP seperti Food, Refresher, dan Vita drink dapat mengembalikan dengan jumlah tertentu. Periksa jumlah yang dapat mereka pulihkan untuk efisiensi maksimum."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Ketika kamu mencapai level 15, selesaikan Job transfer quest sesegera mungkin. Jika tidak, kamu tidak akan bisa mendapatkan Exp lagi."
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Tekan ESC untuk menonaktifkan penargetan.
CLIENT_TIP_INC_000008,Troupe means Party.,Troupe berarti Party.
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","Untuk menggunakan skill, buka skill window (Hot Key 'K') dan drag skill ke bagian bawah layar (F1~F10). Untuk menggunakan skill gabungan, drag skill icon ke slot action (Kanan bawah layar) dan tentukan target lalu tekan tombol 'C' untuk menggunakan skill gabungan."
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,Kamu harus meletakkan skill Clean Hit dulu untuk dapat menggunakan skill flurry di ACTION SLOT.
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Setelah memilih karakter, klik tombol kiri mouse sambil menahan tombol ALT dan pilih 'Follow' di menu untuk mengikuti karakter. Tekan space bar sambil menahan tombol 'Z' pada saat kamu terbang."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Mengklik target sambil menahan 'ALT' akan mengaktifkan menu untuk Guild, Messenger, following, dll.."
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,Tekan 'X' untuk togle berjalan dan berlari.
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.","Double click pada monster atau mengatur auto attack didalam game option, itu akan menyerang secara otomatis."
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,Menjual atau membeli penyas secara online melanggar kebijakan kami! Membeli penyas secara online membahayakan akun milikmu dan kamu dapat terkena hukuman.
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Membagikan, memberikan, atau menjual akun bertentangan dengan kebijakan kami. Pelanggaran apa pun dapat mengakibatkan penghentian permanen akun terkait."
