Key,English,Japanese
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)",カメラビューを変更するには、右クリックを押しながらマウスを移動する（新しいバージョン）か、ホイールボタン（古いバージョン）をクリックして矢印キーを使用します。
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode",スペースキーを押すとジャンプをします。また、飛行時に押すと前進/停止します。
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,20レベル以上から職業に関係なく飛行可能になります。飛行アイテムは各街の｢ステーション｣NPCから購入できます。
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.",生命力（HP）が不足した場合には、モーションの「座る」をすると効率よく回復できます。多少の時間はかかりますがペニャは節約になります。
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.",死亡した場合、一番近くの街へ戻る時は[ロードスター]で復活するか、その場で復活したい時は[リザレクション]スキルで復活させてもらう、もしくは、プレミアムアイテムの｢復活の巻物｣を所持していればその場で復活が可能です。
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.",フード、魔力ドリンク、 スタミナドリンクのようなHP、MP、FPを回復させるアイテムには治療量があります。自分のHP、MP、FPの最大値を確認して、適切なアイテムを使用し、効果を最大限に発揮させるのが重要です。
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,レベルが15になったら、1次転職をしましょう。1次転職が完了するまで経験値は溜まらないので注意してください。
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,ターゲッティングをキャンセルしたい時は[ESC]キーを押してください。
CLIENT_TIP_INC_000008,Troupe means Party.,パーティです。
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.",スキルはスキルウィンドウ(短縮キー[K]キー)からスキルをドラッグ＆ドロップで画面下部の[F1]～[F10]のスロットに登録後、対応キーを押して使用してください。連続でスキルを使用したい場合は、その右側の「アクションスロット」にスキルを登録して[C]キーでスキル使用が可能です。
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,アクションスロットには特定の組み合わせでしか登録することができないスキルもあります。例えば[ブランディッシュ]スキルを使う場合は、[クリーンヒットスキル]を先に登録する必要があります。アクションスロットにスキルを登録できない場合はアイコンの形をよく確認してみてください。
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.",他のｷｬﾗｸﾀｰを[Alt]キーを押しながら左クリックをすると出るメニューで｢追尾｣を選択すると相手についていくことができます。
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..",[Alt]キーを押しながら相手を左クリックするとパーティー、メッセンジャー、追尾などの機能が使用できます。
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,[X]キーを押すと歩くモードに変更されます。再度[X]キーを押すと走るモードに変更されます。
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.",Xキーを押すごとに、走る/歩くモードの切り替えができます。
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,ゲーム内通貨「ペニャ」をオンライン上で販売または購入することは、当社のポリシーに違反します。 ペニャをオンラインで購入すると、アカウントが危険と判断され、罰せられる可能性があります。
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.",アカウントの共有、譲渡、または販売は当社のポリシーに違反します。 違反があった場合、関連するアカウントが完全に停止される可能性があります。
