Key,English,Polish
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,Słynny Zbieracz
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,Nagroda za ranking w Mistrzostwie Zbierania Ziół.
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,Słynny Drwal
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,Nagroda za ranking w Mistrzostwie Cięcia Drewna.
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,Słynny Górnik
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,Nagroda za ranking w Mistrzostwie Kopania.
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,Słynny Rybak
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,Nagroda za ranking w Mistrzostwie Połowu Ryb.
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,Słynny Kucharz
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,Nagroda za ranking w Mistrzostwie Gotowania.
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,Słynny Alchemik
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,Nagroda za ranking w Mistrzostwie Alchemii.
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,Słynny Cieśla
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,Nagroda za ranking w Mistrzostwie Cieślictwa.
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,Słynny Kowal
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,Nagroda za ranking w Mistrzostwie Kowalstwa.
