Key,English,Polish
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,Czyste Cięcie
PROPSKILL_TXT_000001,"A powerful, downward strike.","Zadaje przeciwnikowi jeden, solidny cios."
PROPSKILL_TXT_000002,Flurry,Grad Ciosów
PROPSKILL_TXT_000003,"Rapid, stabbing attack.","Zadaje kilka, szybkich ciosów."
PROPSKILL_TXT_000004,Over Cutter,Kończące Cięcie
PROPSKILL_TXT_000005,"Powerful, upward, finishing move.",Potężny cios kończący kombinację.
PROPSKILL_TXT_000006,Slash,Podwójne Cięcie
PROPSKILL_TXT_000007,"Strikes the enemy two times, in rapid succession.","Rozpoczyna kombo dwoma, szybkimi cięciami."
PROPSKILL_TXT_000008,Keenwheel,Wirujące Cięcie
PROPSKILL_TXT_000009,A continuous spinning attack.,"Tnie przeciwnika wielokrotnie, poprzez wirowanie wokół własnej osi."
PROPSKILL_TXT_000010,Blindside,Cios z Półobrotu
PROPSKILL_TXT_000011,"A spinning, finishing move.","Cios kończący kombinację, wymierzony z taką siłą, że czasem ogłusza wroga."
PROPSKILL_TXT_000012,Protection,Ochrona
PROPSKILL_TXT_000013,Increases the defense of a Shield against melee attacks & significantly increases Ranged Block.,Zwiększa wartość obrony twojej Tarczy i szansę na zablokowanie ataku z dystansu.
PROPSKILL_TXT_000014,Pan Barrier,Osłona Tarczy
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,Zwiększa szansę na zablokowanie ataków z dystansu.
PROPSKILL_TXT_000016,Blazing Sword,Płonący Miecz
PROPSKILL_TXT_000017,Increases Accuracy and increases power of the Sword.,Zwiększa celność i siłę ataku Mieczy.
PROPSKILL_TXT_000018,Smite Axe,Porażający Topór
PROPSKILL_TXT_000019,Increases Accuracy and increases power of the Axe.,Zwiększa celność i siłę ataku Toporów.
PROPSKILL_TXT_000020,Empower weapon,Wzmocnienie Żywiołu
PROPSKILL_TXT_000021,Uses the element of a weapon to boost your attack power.,"Zwiększa siłę ataku, wykorzystując żywioł zawarty w twojej broni. (Broń musi posiadać żywioł.)"
PROPSKILL_TXT_000022,Bloody Strike,Krwawy Cios
PROPSKILL_TXT_000024,Sword Mastery,Mistrzostwo Miecza
PROPSKILL_TXT_000025,Increases the striking power of a Sword.,Zwiększa siłę ataku mieczy.
PROPSKILL_TXT_000026,Axe Mastery,Mistrzostwo Topora
PROPSKILL_TXT_000027,Increases the striking power of an axe.,Zwiększa siłę ataku toporów.
PROPSKILL_TXT_000028,Special Hit,Specjalny Cios
PROPSKILL_TXT_000029,"A single, powerful strike that attacks all enemies around you.",Potężny atak który zadaje obrażenia wszystkim zebranym przeciwnikom od frontu.
PROPSKILL_TXT_000030,Guillotine,Gilotyna
PROPSKILL_TXT_000031,"A powerful, ranged attack.",Atakuje przeciwnika na dystans ognistą falą energii.
PROPSKILL_TXT_000032,Sneaker,Sieć Łowcy
PROPSKILL_TXT_000033,Stops an enemy.,Unieruchamia przeciwnika za pomocą rzuconej sieci.
PROPSKILL_TXT_000034,Reflex Hit,Cios Zwrotny
PROPSKILL_TXT_000035,This skill absorbs one attack and releases back at an enemy.,Absorbuje atak przeciwnika i zwraca go ze zwiększoną siłą.
PROPSKILL_TXT_000036,Guard,Garda
PROPSKILL_TXT_000037,Decreases all incoming damage from enemies by sacrificing attack power. Requires a weapon to be equipped.,Masywnie zwiększa twoją obronę kosztem obniżenia siły ataku. Wymaga broni.
PROPSKILL_TXT_000038,Pain Reflection,Odbicie Bólu
PROPSKILL_TXT_000039,Reflects a part of the damage received by an enemy.,Pasywnie zadaje atakującym wrogom część zadanych przez nich obrażeń.
PROPSKILL_TXT_000040,Rage,Szał
PROPSKILL_TXT_000041,Increases striking power. Become more vulnerable to all incoming attacks.,Zwiększa siłę ataku kosztem obniżenia własnej obrony.
PROPSKILL_TXT_000042,Power Swing,Potężny Zamach
PROPSKILL_TXT_000043,To strike a blow at the enemy by flourishing a weapon. Requires a two-handed weapon.,Odrzuca wrogów przed tobą za pomocą potężnego zamachu. Wymaga dwuręcznej broni.
PROPSKILL_TXT_000044,Earth Divider,Przepołowienie Ziemi
PROPSKILL_TXT_000045,"Powerful, downward strike. Has a chance to reduce Incoming Healing on target. Requires a two-handed weapon.","Rozrywający cios, posiadający szansę na zmniejszenie leczenie u wroga. Wymaga broni dwuręcznej."
PROPSKILL_TXT_000046,Charge,Szarża
PROPSKILL_TXT_000047,"Powerful, upward strike. Stuns the enemy. Requires a two-handed weapon.",Szarżuje wroga i ogłusza go. Wymaga broni dwuręcznej.
PROPSKILL_TXT_000048,Pain Dealer,Bolesna Rana
PROPSKILL_TXT_000049,"Powerful, downward strike. Lowers the defense of the target. Requires a two-handed weapon.","Potwornie bolesny cios, obniżający siłę obrony celu. Wymaga dwuręcznej broni."
PROPSKILL_TXT_000050,Power Stomp,Potężne Tupnięcie
PROPSKILL_TXT_000051,"Pounds the ground, stunning nearby enemies. Requires a two-handed weapon.","Uderza ziemię z olbrzymią siłą, wywołującą ogłuszenie u wrogów wokół ciebie. Wymaga dwuręcznej broni."
PROPSKILL_TXT_000052,Cross Strike,Krzyżowe Cięcie
PROPSKILL_TXT_000053,Powerful strike using two weapons.,Tnie przeciwnika na krzyż za pomocą dwóch broni.
PROPSKILL_TXT_000054,Armor Penetrate,Przebicie Pancerza
PROPSKILL_TXT_000055,Strikes at the enemy and lowers their Block Rate.,"Przebija pancerz wroga, obniżając jego szansę na Blok."
PROPSKILL_TXT_000056,Silent Strike,Ciche Cięcie
PROPSKILL_TXT_000057,Pounces on the enemy from afar. Stuns the target. Requires two weapons.,Przebija przeciwnika szybkim ślizgiem. Mała szansa na ogłuszenie. Wymaga dwóch broni.
