Key,English,Portuguese
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Para mudar a visão da câmera, utilize as setas do teclado ou mova o mouse clicando com o botão direito (na nova versão) ou clicando no botão de rolagem (na versão antiga)"
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","Ao pressionar a barra de espaço, o jogador pode pular no chão e também movimentar o voo quando em modo de voo."
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,"A função de voo está disponível a partir do nível 20, independentemente do seu tipo de classe. Itens voadores podem ser comprados no NPC [Estação] em cada cidade."
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","Se você precisar recuperar HP, você pode descansar fazendo um pedido de descanso que pode ser selecionado no menu de interface de movimentos. Levará um tempo, mas economizará dinheiro."
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Quando você morrer, reviva através do ‘Ressurgir’ se você quiser ir para a cidade. Se você quer reviver no mesmo lugar que você morreu, use um ‘Pergaminho da Ressurreição’ ou tenha uma habilidade de Ressurreição utilizada em você. Lodelight o reviverá no campo em que escolheu."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","É importante verificar o máximo de capacidade do item, pois itens como comida e bebidas capazes de recuperar HP e MP possuem seus próprios limites. Eles irão recuperar apenas uma pequena parcela, caso o jogador tente ir além disso."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Quando você atingir o nível 15, conclua sua missão de transferência de classe o mais rápido possível. Se você não fizer isso, você não ganhará mais Experiência."
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Pressione ESC para desmarcar o alvo.
CLIENT_TIP_INC_000008,Troupe means Party.,O jogador pode cancelar o grupo de alvos pressionando ESC ou o botão direito do mouse na janela de mapas.
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","Para usar uma habilidade, abra a janela de habilidade (tecla de atalho ‘K’) e arraste o ícone de habilidade para os atalhos na parte inferior da tela. Para usar uma habilidade combinada, arraste um ícone de habilidade para o Action Slot (parte inferior direita da tela) e designe um alvo e clique em 'C' para usar a habilidade combinada."
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,Você deve colocar a habilidade Golpe Direto primeiro para usar a habilidade Agitação no ACTION SLOT.
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Depois de selecionar o personagem, clique com o botão esquerdo do mouse enquanto mantém pressionado ALT e escolha ‘Seguir’ no menu para seguir o personagem. Pressione a barra de espaço enquanto segura 'Z' quando estiver voando."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Clicar no alvo enquanto mantém pressionado 'ALT' ativa o menu para Guilda, Adicionar amigo, Seguir, etc.. "
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,Pressione 'X' para alternar entre caminhar e correr.
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.","Clicar duas vezes no monstro ou definir a opção de ataque automático no jogo, você poderá atacar automaticamente."
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,Vender ou comprar Penyas online é contra as nossas políticas! Comprar Penyas online coloca sua conta em risco e você pode ser banido.
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Compartilhar, dar ou vender uma conta vai contra nossas políticas. Qualquer violação pode resultar no encerramento permanente das contas relacionadas."
