Key,English,Simplified_Chinese
CHARACTER_INC_000001,Mikyel,米歌尔
CHARACTER_INC_000011,Noier,诺尔
CHARACTER_INC_000017,[Sage] Radion,[大贤者] 拉迪温
CHARACTER_INC_000021,Boboku,波波酷
CHARACTER_INC_000027,Boboko,波波克
CHARACTER_INC_000033,Luda,路达
CHARACTER_INC_000034,Weapons,武器
CHARACTER_INC_000035,Armors,防具
CHARACTER_INC_000039,Lui,路易
CHARACTER_INC_000043,Arrows,箭
CHARACTER_INC_000045,Losha,罗莎
CHARACTER_INC_000051,Marche,玛尔琪
CHARACTER_INC_000057,Julia,茱丽亚
CHARACTER_INC_000059,Dior,迪奥
CHARACTER_INC_000065,Is,依丝
CHARACTER_INC_000068,Iske,依丝可
CHARACTER_INC_000070,Ispim,依丝彬
CHARACTER_INC_000072,Isruel,依丝露尔
CHARACTER_INC_000075,Ismeralda,依丝美达
CHARACTER_INC_000083,Flaris Pang,帕里胖胖
CHARACTER_INC_000091,Jeff,杰夫
CHARACTER_INC_000099,[High-Dwarpet] Tucani,[高阶矮人族] 哆卡
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[Jester Wise-man] Radyon
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[Ranger Wise-man] Kimel
CHARACTER_INC_000111,[Pepoview] Brodeay,[帕佩团] 布罗威
CHARACTER_INC_000113,[Pepoview] Ruminerr,[帕佩团] 拉美纳
CHARACTER_INC_000115,[Pepoview] Ellangdl,[帕佩团] 艾郎德
CHARACTER_INC_000117,[Pepoview] Hotse,[帕佩团] 哈克赛
CHARACTER_INC_000119,[Pepoview] Vianlee,[帕佩团] 比安莉
CHARACTER_INC_000121,[Pepoview] Clackcable,[帕佩团] 克拉凯步
CHARACTER_INC_000125,Lancomi,兰科米
CHARACTER_INC_000127,Helena,海伦娜
CHARACTER_INC_000129,Martin,马丁
CHARACTER_INC_000135,Bill,比尔
CHARACTER_INC_000141,Tina,蒂娜
CHARACTER_INC_000144,Fuel,燃料
CHARACTER_INC_000147,Bulrox,布鲁克
CHARACTER_INC_000153,Bozman,波兹曼
CHARACTER_INC_000159,Colack,华乐
CHARACTER_INC_000165,Karin,卡琳
CHARACTER_INC_000171,Leann,露恩
CHARACTER_INC_000172,Accessories,流行精品
CHARACTER_INC_000174,Ann,安妮
CHARACTER_INC_000176,Herth,赫丝
CHARACTER_INC_000178,Janne,珍妮
CHARACTER_INC_000180,Kimberley,金贝利
CHARACTER_INC_000186,Saint Pang,晨光胖胖
CHARACTER_INC_000200,[MagicBox] Ancimys,[魔法箱子] 安瑟麦斯
CHARACTER_INC_000226,Lurif,皮姬
CHARACTER_INC_000228,Darkon Pang,达肯胖胖
CHARACTER_INC_000230,Stima,斯蒂玛
CHARACTER_INC_000231,Mercenary,战士
CHARACTER_INC_000232,Assist,圣职者
CHARACTER_INC_000233,Acrobat,弓箭手
CHARACTER_INC_000234,Magician,魔导士
CHARACTER_INC_000236,Phacham,法琪安
CHARACTER_INC_000260,Achaben,雅察本
CHARACTER_INC_000261,Collector,采集器
CHARACTER_INC_000262,Poster,符咒
CHARACTER_INC_000263,Magic Tools,魔法道具
CHARACTER_INC_000264,Arrow,弓箭
CHARACTER_INC_000266,Almani,亚尔玛尼
CHARACTER_INC_000267,Broom,扫帚
CHARACTER_INC_000268,Board,滑板
CHARACTER_INC_000272,Bolpor,沃尔波尔
CHARACTER_INC_000273,Food,食物
CHARACTER_INC_000280,Eshylop,易谢罗
CHARACTER_INC_000284,Haven,哈本
CHARACTER_INC_000285,Wand,魔杖
CHARACTER_INC_000286,Staff,法杖
CHARACTER_INC_000288,Robe,装备
CHARACTER_INC_000290,Ollien,欧利恩
CHARACTER_INC_000292,Roocky,鲁奇
CHARACTER_INC_000298,Remine,雷蒙
CHARACTER_INC_000304,Krinton,克林特
CHARACTER_INC_000305,Shields,盾
CHARACTER_INC_000310,Dr. Est,Dr. 依斯特
CHARACTER_INC_000312,Dr. Estly,Dr. 依斯特里
CHARACTER_INC_000314,Dr. Estern,Dr. 依斯腾
CHARACTER_INC_000316,Darkon Pang II,达肯3胖胖
CHARACTER_INC_000318,Kablloc,卡布洛
CHARACTER_INC_000324,Chenbing,查宾
CHARACTER_INC_000330,Jinitte,杰奴塔
CHARACTER_INC_000336,Tandy,丹狄
CHARACTER_INC_000338,Blinkwing,传送卷
CHARACTER_INC_000339,Class Goods,职业用品
CHARACTER_INC_000342,[Acrobat Drillmaster] Hent,[弓箭手教官] 亨特
CHARACTER_INC_000344,[Acrobat Master] Pyre,[弓箭手大师] 飞蕊
CHARACTER_INC_000346,[Acrobat Instructor] Tailer,[弓箭手训练助教] 塔利尔
CHARACTER_INC_000348,[Jester Master] Lorein,[暗杀者首领] 萝丽安
CHARACTER_INC_000350,[Jester Priest] Homeit,[暗杀祭司] 胡梅
CHARACTER_INC_000352,[Jester Guardian] Heingard,[暗杀守护使者] 海音卡萝德
CHARACTER_INC_000354,[Ranger Master] Eliff,[游侠首领] 艾莉芙
CHARACTER_INC_000356,[High-Dwarpet] Liekyen,[高阶矮人族] 利绮安
CHARACTER_INC_000358,[Ranger Priest] Rupim,[游侠祭司] 芦苹
CHARACTER_INC_000360,[Ranger Guardian] Kailreard,[游侠守护使者] 卡伊雷雅德
CHARACTER_INC_000362,Santa,圣诞老人
CHARACTER_INC_000364,Priest,华伦泰神父
CHARACTER_INC_000366,Hans,杰佛瑞
CHARACTER_INC_000368,Guardian Master,城镇警卫队长
CHARACTER_INC_000372,Shun,顺
CHARACTER_INC_000378,Rocbin,罗宾
CHARACTER_INC_000382,Shield,盾
CHARACTER_INC_000384,Ciel,西埃尔
CHARACTER_INC_000390,Yuna,游娜
CHARACTER_INC_000396,Heron,华伦泰神父
CHARACTER_INC_000398,Cell,飞儿
CHARACTER_INC_000400,Rankashu,小草儿
CHARACTER_INC_000402,Drian,得安
CHARACTER_INC_000404,Nevil of Prison,服刑的蓝彼
CHARACTER_INC_000406,Nevil,蓝彼
CHARACTER_INC_000408,Bernard,番若迪
CHARACTER_INC_000410,Kazen,卡斩
CHARACTER_INC_000412,Andre,安德烈
CHARACTER_INC_000414,Nein,罗殷
CHARACTER_INC_000418,Banker Pang,仓库管理员胖胖
CHARACTER_INC_000420,Guild Siege Merchant,公会战商人
CHARACTER_INC_000430,Furan,后兰
CHARACTER_INC_000434,[Guild Siege Manager] Frankie,[公会战管理员] 法兰奇
CHARACTER_INC_000436,[Guild Siege Manager] Donaris,[公会战管理员] 多拿里斯
CHARACTER_INC_000438,[Santa] Buruto,[圣诞]布鲁托
CHARACTER_INC_000440,[Santa] Aramy,[圣诞]亚罗梅
CHARACTER_INC_000442,[Santa] Atto,[圣诞]亚妥
CHARACTER_INC_000444,[Probationer Cook] Juglin,[试用厨师] 笛林亚特
CHARACTER_INC_000454,Hachal,哈查尔
CHARACTER_INC_000458,[Great Magician] Laola,[大魔导士] 拉宇
CHARACTER_INC_000460,[Dreadpet Manager] Himadel,赫玛顿尔
CHARACTER_INC_000462,[Dreadpet Manager] Gornus,勾勒努斯
CHARACTER_INC_000464,[Dreadpet Manager] Kanane,卡哪内
CHARACTER_INC_000466,[Mercenary Drillmaster] Mustang,[战士教官] 玛斯滕
CHARACTER_INC_000468,[Mercenary Master] Andy,[战士大师] 安迪凯
CHARACTER_INC_000470,[High-Dwarpet] Langdrong,[高阶矮人族] 克罗
CHARACTER_INC_000472,[Mercenary Instructor] Hyuit,[战士训练助教] 辉羽
CHARACTER_INC_000474,[Assist Drillmaster] Elic,[圣职者教官] 埃里克
CHARACTER_INC_000476,[Assist Master] Maki,[圣职者大师] 马奇
CHARACTER_INC_000478,[High-Dwarpet] Goripeg,[高阶矮人族] 克利培
CHARACTER_INC_000480,[Assist Instructor] Kidmen,[圣职者训练助教] 凯德蔓
CHARACTER_INC_000482,[High-Dwarpet] Hastan,[高阶矮人族] 海珊
CHARACTER_INC_000484,Rudvihil,萝特泰斯
CHARACTER_INC_000486,Ancimys,安瑟麦斯
CHARACTER_INC_000488,[Historian] Martinyc,[历史学家] 玛缇雅克
CHARACTER_INC_000490,[Mayor of Flarine],[帕里市长]
CHARACTER_INC_000492,[Public Official of Flarine],[帕里公务员]
CHARACTER_INC_000494,[Novelist] Gergantes,[小说家] 格甘特斯
CHARACTER_INC_000496,[Magician Drillmaster] Wingyei,[魔导士教官] 艾文
CHARACTER_INC_000498,[Magician Master] Hee,[魔导士大师] 海恩
CHARACTER_INC_000500,[Magician Instructor] Lopaze,[魔导士训练助教] 洛帕兹
CHARACTER_INC_000502,Helgar,海格乐
CHARACTER_INC_000504,Heltung,哈顿
CHARACTER_INC_000506,Strange Collector,诡异的收藏家
CHARACTER_INC_000508,[BowlMerchant] Bowler,保罗克
CHARACTER_INC_000510,JeongHwa,吉哈娃
CHARACTER_INC_000512,Porgo,柏洛格
CHARACTER_INC_000514,[Mayor of Saint City],[晨光市长]
CHARACTER_INC_000516,[Chairman of History Society] Gothante,[历史研究会长] 扎森特
CHARACTER_INC_000518,[Manager of Ancient Document] Rovanett,[档案管理员] 鲁巴迦丽
CHARACTER_INC_000520,Colar,凯乐拉
CHARACTER_INC_000522,Amadolka,艾玛都卡
CHARACTER_INC_000524,Nina,妮娜
CHARACTER_INC_000526,ChiChi,奇奇
CHARACTER_INC_000528,PiPi,皮皮
CHARACTER_INC_000530,Loyah,乐亚
CHARACTER_INC_000532,Mayun,马润
CHARACTER_INC_000534,Sotta,苏丹
CHARACTER_INC_000536,[Knight Master] Karandur,[骑士首领] 卡朗杜
CHARACTER_INC_000538,[Knight Wise-man] Hormes,[骑士贤者] 霍鲁美斯.凯德
CHARACTER_INC_000540,Kurmin,库鲁米．韩森
CHARACTER_INC_000542,[Knight Priest] Lobiet,[骑士祭司] 拉薇特.黎
CHARACTER_INC_000544,[Knight Guardian] Boneper,[骑士守护使者] 波内佩拉
CHARACTER_INC_000546,[Blade Master] Corel,[刀锋战士首领] 科瑞尔
CHARACTER_INC_000548,[Blade Wise-man] Guabrill,[刀锋战士贤者] 加布里
CHARACTER_INC_000550,Ata,阿塔
CHARACTER_INC_000552,[Blade Priest] Jeperdy,[刀锋战士祭司] 杰普迪
CHARACTER_INC_000554,[Blade Guardian] Sencyrit,[刀锋战士守护使者] 桑希里特
CHARACTER_INC_000556,[Billposter Master] Ride,[暴力技师首领] 瑞得
CHARACTER_INC_000558,[Billposter Wise-man] Domek,[暴力技师贤者] 道麦
CHARACTER_INC_000560,Segho,佩辛
CHARACTER_INC_000562,[Billposter Priest] Fera,[暴力技师祭司] 菲拉
CHARACTER_INC_000564,[Billposter Guardian] Capafe,[暴力技师守护使者] 卡帕菲
CHARACTER_INC_000566,[Ringmaster Master] Ellend,[守护使者首领] 爱岚德
CHARACTER_INC_000568,[Ringmaster Wise-man] Clamb,[守护使者贤者] 可伯内特
CHARACTER_INC_000570,Teshar,特莎
CHARACTER_INC_000572,[Ringmaster Priest] Heedan,[守护使者祭司] 海登
CHARACTER_INC_000574,[Ringmaster Guardian] Romvoette,[守护使者] 隆波艾达
CHARACTER_INC_000576,[Psykeeper Master] Cylor,[精神使者首领] 赛乐
CHARACTER_INC_000578,[Psykeeper Wise-man] Cuarine,[精神使者贤者] 可林
CHARACTER_INC_000580,Ryupang,鲁班
CHARACTER_INC_000582,[Psykeeper Priest] Pereb,[精神使者祭司] 安得利尔
CHARACTER_INC_000584,[Psykeeper Guardian] Shyniff,[精神使者守护使者] 夏尼普
CHARACTER_INC_000586,[Elementor Master] Horison,[元素使者首领] 赫雷森
CHARACTER_INC_000588,[Elementor Wise-man] Cuzrill,[元素使者守贤者] 可滋利
CHARACTER_INC_000590,Parine,佩琳
CHARACTER_INC_000592,[Elementor Priest] Condram,[元素使者守祭司] 柯登皮斯
CHARACTER_INC_000594,[Elementor Guardian] Wendien,[元素使者守护使者] 文嫡凌
CHARACTER_INC_000596,Tomba,特巴
CHARACTER_INC_000598,Eoners,伊那艾
CHARACTER_INC_000600,Ghalade,葛列德
CHARACTER_INC_000602,Phoho,普皓
CHARACTER_INC_000604,[Darken Mayor],[达肯市长]
CHARACTER_INC_000606,Darz,达兹
CHARACTER_INC_000608,Ivil Tobby,伊普里 托比
CHARACTER_INC_000610,Ivil Dorry,伊普里 多瑞
CHARACTER_INC_000612,Ivil Nana,伊普里 娜娜
CHARACTER_INC_000614,Ivil Tubby,伊普里 塔比
CHARACTER_INC_000616,Ivil Pho,伊普里 波
CHARACTER_INC_000621,Firdryad,格尔洛史都华
CHARACTER_INC_000623,Persdryad,梅芬妮亚
CHARACTER_INC_000625,Peardryad,西康玛汀
CHARACTER_INC_000627,Pinedryad,菲蜜凡内斯
CHARACTER_INC_000628,Hair Designer,发型师
CHARACTER_INC_000629,Makeup Artist,化妆师
CHARACTER_INC_000633,Post Box,邮箱
CHARACTER_INC_000671,[Pet Tamer],[宠物驯练师]
CHARACTER_INC_000704,Buff Pang,新手指导员
CHARACTER_INC_000706,[Arena Manager] Harold,[竞技场管理员] 海洛德
