Key,English,Simplified_Chinese
TEXTEMOTION_TXT_000000,Laugh,大笑
TEXTEMOTION_TXT_000001,Sad,哭泣
TEXTEMOTION_TXT_000002,Kiss,亲一个
TEXTEMOTION_TXT_000003,Surprise,吓一跳
TEXTEMOTION_TXT_000004,Blush,脸红
TEXTEMOTION_TXT_000005,Anger,愤怒
TEXTEMOTION_TXT_000006,Sigh,叹气
TEXTEMOTION_TXT_000007,Wink,眨眼
TEXTEMOTION_TXT_000008,Ache,生病了
TEXTEMOTION_TXT_000009,Hunger,好饿啊
TEXTEMOTION_TXT_000010,Yummy,美味
TEXTEMOTION_TXT_000011,Sneer,耍酷
TEXTEMOTION_TXT_000012,Sparkle,星星眼
TEXTEMOTION_TXT_000013,Ridicule,奸笑
TEXTEMOTION_TXT_000014,Sleepy,犯困
TEXTEMOTION_TXT_000015,Rich,发财
TEXTEMOTION_TXT_000016,Glare,怒视
TEXTEMOTION_TXT_000017,Sweat,流汗
TEXTEMOTION_TXT_000018,Cat face,猫脸
TEXTEMOTION_TXT_000019,Tongue,吐舌头
TEXTEMOTION_TXT_000020,Mad,生气
TEXTEMOTION_TXT_000021,Aha,啊哈！
TEXTEMOTION_TXT_000022,Embarrassed,尴尬
TEXTEMOTION_TXT_000023,Help,求救
TEXTEMOTION_TXT_000024,Crazy,狂热
TEXTEMOTION_TXT_000025,Oh!,哦！
TEXTEMOTION_TXT_000026,Confused,迷惑
TEXTEMOTION_TXT_000027,Ouch,好痛
TEXTEMOTION_TXT_000028,Love,爱心
TEXTEMOTION_TXT_100000,Risitas,难绷
TEXTEMOTION_TXT_100001,Broken Heart,心碎了
TEXTEMOTION_TXT_100002,Sadge,悲伤蛙
TEXTEMOTION_TXT_100003,Copium,自我安慰
TEXTEMOTION_TXT_100004,Susge,啊这
TEXTEMOTION_TXT_100005,Sheesh,惊讶
TEXTEMOTION_TXT_100006,Acktually,其实吧
