Key,English,Swedish
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)"
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode"
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money."
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Press ESC to disable targeting.
CLIENT_TIP_INC_000008,Troupe means Party.,Troupe means Party.
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill."
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc.."
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,Press 'X' to toggle walking and running.
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.","Double-clicking on the monster or set on the auto attack in game option, it will attack automatically."
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts."
