Key,English,Thai
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)",เปลี่ยนมุมมองกล้องให้เลื่อนเมาส์ หรือใช้ปุ่มลูกศรด้วยการคลิกเมาส์ปุ่มขวา (ในเวอร์ชันใหม่) หรือเลื่อนลูกกลิ้งเมาส์ (ในเวอร์ชันเก่า)
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode",เมื่อเคาะแป้น Spacbar ถ้าผู้เล่นอยู่บนพื้นจะกระโดด แต่ถ้าบินอยู่ จะเป็นเร่งความเร็ว หรือหยุดการบิน
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,สามารถบินได้เมื่อเลเวล 20 โดยไม่เกี่ยวข้องกับอาชีพของตัวละคร ส่วนไอเทมที่ใช้บินสามารถหาซื้อได้ที่ NPC [Station] ในแต่ละเมือง
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.",ถ้าพลังชีวิต (HP) เริ่มน้อยลงให้พักก่อนโดยเลือกคำสั่งนั่ง (พักผ่อน) ที่ Motion เพื่อฟื้นสภาพ ถึงจะใช้เวลามากหน่อย แต่ช่วยประหยัดเงินได้
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","เมื่อตัวละครของคุณตาย เลือกฟื้นที่ ""Loadstar"" ตัวละครจะกลับไปเกิดใหม่ที่ตัวเมืองที่ใกล้ที่สุด และถ้าคุณต้องการที่จะฟื้นที่ตัวละครตาย ให้ใช้ ""Scroll of resurrection"" หรือใช้สกิล Resurrection"
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","ไอเทมฟื้นค่า HP, MP และ FP เช่น Food, Refresher, Vita drink นั้นจะมีค่าความสามารถในการฟื้นฟู ควรตรวจสอบค่าความสามารถในการฟื้นฟูของไอเทมเสียก่อน เพื่อใช้งานให้ได้ประสิทธภาพสูงสุด"
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,เมื่อคุณเก็บเลเวลจนถึงเวเวล 15 แล้ว ควรรีบทำเควสเปลี่ยนอาชีพให้เสร็จเรียบร้อยโดยเร็ว เนื่องจากพอเลเวล 15 แล้วค่าประสบการณ์จะไม่ขึ้น จึงต้องเปลี่ยนอาชีพเสียก่อนจึงจะสามารถเก็บค่าประสบการณ์ต่อไปได้
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,กดปุ่ม ESC เพื่อยกเลิกเป้าหมาย
CLIENT_TIP_INC_000008,Troupe means Party.,กลุ่มจะมีความหมายว่า ปาร์ตี้ Party
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","ในการใช้สกิล ให้เปิดหน้าต่างโดยกดปุ่ม ""K"" และลากไอคอนสกิลมาไว้ที่ช่องคีย์ลัดด้านล่างของหน้าจอ (F1-F10) ถ้าต้องการใช้สกิลต่อเนื่องให้ลอกไอคอนมาไว้ที่ Action Slot (ด้านล่างขวาของจอ) โดยการใช้งานให้เลือกเป้าหมายแล้วกดปุ่ม ""C"""
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,คุณต้องใส่สกิล Clean Hit ก่อนจึงจะใช้สกิล Flurry ใน ACTION SLOT
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.",หลังจากเลือกตัวละครแล้ว ให้คลิกปุ่มซ้ายของเมาส์ในขณะที่กด ALT ค้างไว้แล้วเลือก 'ติดตาม' ในเมนูเพื่อติดตามตัวละคร กด Space Bar ในขณะที่กด 'Z' ค้างไว้เมื่อคุณกำลังบิน
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","การคลิกที่เป้าหมายในขณะที่กด 'ALT' ค้างไว้ จะเปิดใช้งานเมนูสำหรับกิลด์, เมสเซนเจอร์, การติดตาม ฯลฯ"
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,กด 'X' เพื่อสลับการเดินและวิ่ง
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.",ดับเบิ้ลคลิกที่มอนสเตอร์หรือตั้งค่าการโจมตีอัตโนมัติในเกม มันจะโจมตีโดยอัตโนมัติ
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,การซื้อหรือการขายเงินในเกม (Penya) ผิดกฏระเบียบของเกม Flyff! การซื้อขายเงินในเกม (Penya) อาจทำให้ไอดีเสี่ยงต่อการถูกลงโทษตามกฏ
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.",การโอนย้ายไอดีหรือการขายไอดี ผิดกฏระเบียบของเกม Flyff! การฝ่าฝืนใดๆ อาจส่งผลให้ไอดีที่เกี่ยวข้องโดนแบนอย่างถาวรตามกฏของเกม
