Key,English,Traditional_Chinese
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)",如果要更改照相視野，請移動游標或使用點擊滑鼠右鍵的箭頭鍵（新版）或點擊滾輪鍵（舊版）
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode",按空白鍵可以在地面上跳躍，飛行時會使飛行器具停止或啟動。
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,任何職業都必須到達等級20級之後，才能飛行。飛行器可以找各城鎮的 [航空站] NPC 購買。
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.",生命力(HP)不足之時，可選擇動作欄上的『坐下』來恢復體力。雖然耗費的時間較久，但是可以省下不少錢唷！
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.",如果不小心死了，但是城鎮又太遠，不想回城鎮復活時，可以接受復活技能復活或使用持有的付費道具“復活卷軸”，就能夠在原地復活了。
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.",食物、魔力、活力補充劑多這類物品可以補充角色的HP、MP、FP。但是這些物品可以補充的量是有上限的。購買補品的時候，請確認恢復的上限，使用適合自己程度的物品，才能將效果發揮到最大。
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,等級到達15級時，請盡快去進行轉職。因為見習生等級到達15級之後，不會再累積任何的經驗值了。
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,想取消目標，按鍵盤上的ESC鍵後，即可取消目標。 
CLIENT_TIP_INC_000008,Troupe means Party.,『劇團』就是隊伍的意思。
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.",若想要使用技能，請先打開技能視窗(熱鍵K)，確定技能後，可以將技能登錄到畫面下方F1~F10的熱鍵內使用。想要連續使用技能，只要在右側動作欄位裡，放入技能後，指定目標按下C鍵，就能夠連續使用技能。
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,若要使用中段技能『連擊』，必須先將前段技能『重擊』設定到技能熱鍵欄中。
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.",點擊對方後，按住『ALT』鍵的狀態下，點擊滑鼠左鍵後，在出現的選單裡，選擇”跟選”選項，就可以跟隨在對方後面。飛從時按下Z鍵和空白鍵，就能夠跟隨相標。
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..",按住『ALT』鍵選定任何一個玩家，即可使用加入劇團、即時通、跟隨等等的功能。
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,按下X鍵後，就會轉換成走路模式，再按一次後，就能夠再轉換回跑步模式。
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.",按一次X鍵可轉換成走路的模式，再按一次即可轉換成跑步模式。
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,在線上買賣金幣是違反我們的政策！在線上購買金幣會使您的帳戶面臨風險，您可能會受到懲罰。
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.",分享、提供或出售遊戲帳號是違反我們的政策。任何違規行為都可能導致永久終止相關的帳號。
