Key,English,Traditional_Chinese
ITEMTYPE_1H_SWORD,1H Sword,單手劍
ITEMTYPE_2H_SWORD,2H Sword,雙手劍
ITEMTYPE_1H_AXE,1H Axe,單手斧
ITEMTYPE_2H_AXE,2H Axe,雙手斧
ITEMTYPE_KNUCKLE,Knuckle,拳套
ITEMTYPE_STICK,Stick,法棒
ITEMTYPE_BOW,Bow,弓
ITEMTYPE_YOYO,Yo-Yo,溜刃
ITEMTYPE_WAND,Wand,法杖
ITEMTYPE_STAFF,Staff,權杖
ITEMTYPE_COSTUME,Costume,服裝
ITEMTYPE_SHOES,Shoes,鞋子
ITEMTYPE_PICKUP,Pick-Up Pet,撿寵
ITEMTYPE_REAR_PET,Raised Pet,召喚獸
ITEMTYPE_CONSUMABLE,Consumable,消耗品
ITEMTYPE_BOARD,Board,滑板
ITEMTYPE_CAR,Car,車
ITEMTYPE_WINGS,Wings,翅膀
ITEMTYPE_BIKE,Bike,自行車
ITEMTYPE_BERRY,Berry,莓果
ITEMTYPE_DICE,Dice,骰子
ITEMTYPE_BOX,Box,箱子
ITEMTYPE_VANITY,Vanity,特效
ITEMTYPE_CHIP,Chip,籌碼
