Key,English,Vietnamese
CLIENT_TIP_INC_000000,"In order to change the camera view, move the mouse or use the arrow keys with clicking the right mouse button (in new version) or clicking the wheel button (in old version)","Để thay đổi chế độ xem camera, hãy di chuyển chuột hoặc sử dụng các phím mũi tên bằng cách nhấp vào nút chuột phải (trong phiên bản mới) hoặc nhấp vào nút bánh xe (trong phiên bản cũ)"
CLIENT_TIP_INC_000001,"By pressing the space bar, player can jump on the ground. and also, it will move the flight in the flying mode","Bằng cách nhấn phím cách, người chơi có thể nhảy trên mặt đất. và đồng thời, nó sẽ chuyển sang chế độ bay"
CLIENT_TIP_INC_000002,Flying is possible at level 20 regardless of your job class. Flying items can be purchased from the [Station] NPC in each town.,Có thể bay ở cấp độ 20 bất kể thứ hạng chức nghiệp của bạn. Các vật phẩm bay có thể được mua từ NPC [Trạm] ở mỗi thị trấn.
CLIENT_TIP_INC_000003,"If you need HP, you can take a rest thru a sitting order which you can choose in the motion interface menu. it will take the time but save the money.","Nếu bạn cần HP, bạn có thể nghỉ ngơi thông qua lệnh ngồi mà bạn có thể chọn trong menu giao diện chuyển động. Sẽ mất thời gian nhưng tiết kiệm tiền."
CLIENT_TIP_INC_000004,"When you are dead, revive through ‘Lodestar’ if you want to go to town. If you want to revive from the place you've died, then use a ‘Scroll of Resurrection’ or have a Resurrection skill cast on you.","Khi bạn chết, hãy hồi sinh thông qua ‘Lodestar’ nếu bạn muốn đến thị trấn. Nếu bạn muốn hồi sinh từ nơi bạn đã chết, thì hãy sử dụng 'Scroll of Resurrection' hoặc sử dụng kỹ năng Hồi sinh cho bạn."
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP such as Food, Refresher, and Vita drink restore a certain amount. Check the amount they restore for maximum efficiency.","Các vật phẩm phục hồi HP, MP và FP như Thực phẩm, Bình bổ sung và Nước uống Vita sẽ phục hồi một lượng nhất định. Kiểm tra số lượng chúng khôi phục để có hiệu quả tối đa."
CLIENT_TIP_INC_000006,When you reach level 15 go complete your Job transfer quest as soon as possible. If you don’t you won’t be able to gain any more Exp.,"Khi bạn đạt đến cấp độ 15, hãy hoàn thành nhiệm vụ Chuyển đổi chức nghiệp của bạn càng sớm càng tốt. Nếu không, bạn sẽ không thể đạt được thêm Exp."
CLIENT_TIP_INC_000007,Press ESC to disable targeting.,Nhấn ESC để tắt nhắm mục tiêu.
CLIENT_TIP_INC_000008,Troupe means Party.,Troupe có nghĩa là Nhóm
CLIENT_TIP_INC_000009,"To use a skill, open the skill window (Hot Key ‘K’) and drag the skill icon to the bottom of the screen (F1~F10). To use a combined skill, drag a skill icon to the action slot (Right bottom of the screen) and designate a target and click ‘C’ to use the combined skill.","Để sử dụng kỹ năng, hãy mở cửa sổ kỹ năng (Phím Nóng ‘K’) và kéo biểu tượng kỹ năng xuống cuối màn hình (F1 ~ F10). Để sử dụng một kỹ năng kết hợp, hãy kéo biểu tượng kỹ năng vào vị trí hành động (Dưới cùng bên phải của màn hình) và chỉ định mục tiêu và nhấp vào ‘C’ để sử dụng kỹ năng kết hợp."
CLIENT_TIP_INC_000010,You have to put the Clean Hit skill first to use the flurry skill in the ACTION SLOT.,Bạn phải đặt kỹ năng Clean Hit trước để sử dụng kỹ năng flurry trong ACTION SLOT.
CLIENT_TIP_INC_000011,"After selecting the character, click the left mouse button while holding down ALT and choose ‘Follow’ in the menu to follow the character. Press Space Bar while holding ‘Z’ when you are flying.","Sau khi chọn nhân vật, nhấp chuột trái trong khi giữ ALT và chọn ‘Theo dõi’ trong menu để theo dõi nhân vật. Nhấn Space Bar trong khi giữ ‘Z’ khi bạn đang bay."
CLIENT_TIP_INC_000012,"Clicking the target while holding down 'ALT' activates the menu for Guild, Messenger, following, etc..","Nhấp vào mục tiêu trong khi giữ 'ALT' sẽ kích hoạt menu cho Bang hội, Tin nhắn, theo dõi, v.v."
CLIENT_TIP_INC_000013,Press 'X' to toggle walking and running.,Nhấn 'X' để bật/tắt đi bộ và chạy.
CLIENT_TIP_INC_000014,"Double-clicking on the monster or set on the auto attack in game option, it will attack automatically.","Nhấp đúp vào quái vật hoặc thiết lập tùy chọn tự động tấn công trong trò chơi, nó sẽ tự động tấn công."
CLIENT_TIP_INC_000015,Selling or buying Penyas online is against our policies! Buying Penyas online put your account at risk and you may be punished.,Bán hoặc mua Penyas trực tuyến là vi phạm chính sách của chúng tôi! Mua Penyas trực tuyến khiến tài khoản của bạn gặp rủi ro và bạn có thể bị trừng phạt.
CLIENT_TIP_INC_000016,"Sharing, giving or selling an account goes against our policies. Any breach can result in a permanent termination of the related accounts.","Chia sẻ, tặng hoặc bán tài khoản sẽ đi ngược với chính sách của chúng tôi. Bất kỳ vi phạm nào có thể dẫn đến việc chấm dứt vĩnh viễn các tài khoản liên quan."
